"","firstname","surname","party","Eutanasia.pitäisi.sallia.","Haluaisin.että.alueeni.terveyspalveluiden.tuottaja.on.mieluummin.julkinen.kuin.yksityinen.","Homo..ja.lesbopareilla.pitää.olla.samat.avioliitto..ja.adoptio.oikeudet.kuin.heteropareilla.","Hyvä.veli..verkostot.ohjaavat.kuntien.päätöksentekoa.","Jos.kansalaisen.terveysongelmien.voidaan.katsoa.johtua.omista.elintavoista..hänen.pitäisi.osallistua.hoidon.kustannuksiin.","Jos.tulee.eteen.tilanne..jossa.on.välttämätöntä.joko.leikata.julkisia.palveluita.ja.sosiaalietuuksia.tai.korottaa.veroja..veronkorotukset.ovat.parempi.vaihtoehto.","Jos.valtio.tarjoaa.turvapaikanhakijoiden.vastaanottokeskuksen.perustamista.kotikuntaani..tarjous.pitää.hyväksyä.","Julkisia.palveluita.pitäisi.ulkoistaa.nykyistä.enemmän.kunnilta.yrityksille.","Julkisia.palveluita.tulisi.ulkoistaa.entistä.enemmän.yksityisten.yritysten.tuotettavaksi.","Julkisten.terveyspalvelujen.asiakasmaksut.tulisi.poistaa.kokonaan.","Kaikessa.päätöksenteossa.pitäisi.arvioida.vaikutukset.ympäristöön.ja.tarvittaessa.luopua.ympäristölle.haitallisista.hankkeista.","Kannatan.kotikuntani.liittämistä.isompaan.kuntaan.tai.kuntien.yhdistymistä.kotikuntani.kanssa.","Kasvisruoan.määrää.pitäisi.lisätä.kouluissa.ja.liharuuan.vähentää.","Kerjääminen.kaduilla.pitäisi.kieltää.lailla.","Kirjastojen.kirjoista.pitäisi.maksaa.lainausmaksua.kunnan.taloustilanteen.helpottamiseksi.","Kirjastojen.pitäisi.keskittyä.kirjoihin..eikä.laajentua.enempää.tavaroiden.lainaamiseen.tai.muille.vastaaville.uusille.alueille","Koko.Suomi.on.syytä.pitää.asuttuna..vaikka.se.tietäisikin.veronmaksajille.kustannuksia.","Koko.Suomi.tulisi.pitää.asuttuna..vaikka.se.kävisikin.kalliiksi.veronmaksajille.","Kotikunnassani.pitäisi.olla.maksuton.julkinen.liikenne..vaikka.se.nostaisi.veroäyriä.","Kotikuntani.pitäisi.ottaa.aktiivisesti.vastaan.kotoutettavia.turvapaikanhakijoita.","Kouluissa.kohdellaan.koululaisia.liian.lepsusti..Tiukempi.kuri.tekisi.kouluista.parempia.","Koulujen.liikuntatuntien.pitäisi.olla.tytöille.ja.pojille.yhteiset.","Koululuokat.pitäisi.jakaa.oppilaiden.lahjakkuuden.perusteella.tasoryhmiin.","Koululuokissa.tulisi.olla.ylärajat.maahanmuuttajalasten.osuudelle.","Kulttuuripalveluista..museot..teatterit..orkesterit..voidaan.säästää.leikkaamalla.","Kunnassani.on.tärkeämpää.huolehtia.yksityisautoilun.edellytyksistä.kuin.joukkoliikenteestä.","Kuntalaisten.valitusoikeutta.kaavoituskysymyksissä.tulee.rajoittaa.","Kuntani.nykyinen.kouluverkko.tulee.säilyttää.sellaisenaan..vaikka.se.aiheuttaisi.kustannuksia.kuntalaisille.","Kuntani.pitäisi.luopua.vaatimuksesta.rakentaa.autopaikkoja.uusien.asuntojen.yhteyteen.","Kuntani.pitäisi.rohkeammin.käyttää.maiden.pakkolunastuksia.kaavoituksen.vauhdittamiseksi.","Kuntani.pitäisi.tukea.rahallisesti.lasten.hoitamista.kotona.nykyistä.enemmän.","Kuntani.pitää.auttaa.ihmisiä..vaikka.he.oleskelisivat.Suomessa.laittomasti.","Kuntani.pitää.taata.kokopäiväinen.päivähoitopaikka.kaikille.alle.3.vuotiaille..vaikka.näiden.vanhemmista.toinen.olisikin.kotona.","Kuntien.virkoja.täytettäessä.pitäisi.olla.sukupuolikiintiöt.","Lasten.päivähoidon.hinta.pitäisi.suhteuttaa.nykyistä.vahvemmin.vanhempien.tuloihin.","Maahanmuuttajataustaisten.lasten.osuudella.koululuokassa.pitäisi.olla.yläraja.","Monikulttuurisuus.on.kunnalle.hyvä.asia.","Nykyisen.kaltaiset.palvelut.ja.sosiaalietuudet.ovat.pitemmän.päälle.liian.raskaita.julkiselle.taloudelle.","On.parempi..että.kunta.nostaa.veroäyriä.kuin.että.se.leikkaa.palveluistaan.","Oppilaiden.kännykät.pitäisi.jättää.oppitunnin.ajaksi.luokkahuoneen.ulkopuolelle.","Perinteiset.arvot...kuten.koti..uskonto.ja.isänmaa...muodostavat.hyvän.arvopohjan.politiikalle.","Pyörätiet.ja.jalkakäytävät.pitäisi.puhdistaa.lumesta.ja.hiekoittaa.ennen.autoteitä.","Pääomatuloista.pitäisi.maksaa.veroa.kotikuntaan.siinä.missä.ansiotuloistakin.","Rikkaiden.asuinalueilla.ei.tarvita.yhtä.hyviä.julkisia.palveluita.kuin.vähävaraisilla.","Suomalaisten.auttaminen.pitäisi.olla.etusijalla.ulkomaalaisiin.verrattuna.","Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Talouskasvu.ja.työpaikkojen.luominen.tulisi.asettaa.ympäristöasioiden.edelle..silloin.kun.nämä.kaksi.ovat.keskenään.ristiriidassa.","Tuloerojen.kasvusta.on.haittaa.yhteiskunnalle.","Vanhempien.oikeutta.valita.lastensa.koulu.tulisi.rajoittaa."
"1077","Auli","Rantanen","vihr",5,4,5,4,1,4,4,2,2,4,4,2,3,2,1,4,4,4,5,4,4,4,2,4,1,1,4,4,2,2,3,4,2,1,3,4,5,4,4,4,3,2,3,1,2,2,2,1,2
"1085","Auni-Marja","Vilavaara","vihr",3,3,5,2,2,4,4,2,2,3,5,4,4,2,1,2,4,4,2,5,2,5,2,1,2,2,2,5,4,4,2,4,5,4,4,1,5,2,4,4,2,4,2,2,1,2,2,4,2
"1086","Aura","Kostiainen","vas",5,5,5,4,1,5,5,1,1,5,5,4,5,1,1,2,2,2,4,5,2,4,2,2,1,1,1,4,5,3,2,5,5,2,2,2,4,1,5,4,2,4,5,1,1,1,1,5,4
"1092","Beata (Lumi)","Martinez-Toiviainen","kd",1,5,1,3,1,5,5,5,5,5,4,1,4,5,2,5,5,5,1,5,5,5,1,5,5,2,2,5,2,2,5,4,1,5,5,5,5,2,4,5,5,5,5,5,1,5,4,4,1
"1099","Benjamin","Ellenberg","rkp",5,1,5,2,2,2,5,4,4,2,4,5,5,1,1,4,1,1,1,5,1,5,1,1,2,1,4,4,5,4,1,4,5,2,1,1,5,2,2,2,1,4,1,2,1,2,1,5,4
"1102","Binar","Mustafa","vas",4,5,5,4,2,5,5,1,1,5,5,4,5,1,1,2,3,3,5,5,1,5,1,1,1,1,1,5,5,2,2,5,5,1,2,1,5,1,5,4,1,5,5,2,1,1,1,5,2
"1119","Björn","Fant","rkp",2,4,4,4,2,4,5,2,2,2,4,1,2,4,4,4,5,5,1,4,4,2,4,2,2,2,2,4,2,2,2,4,2,2,2,2,4,4,4,2,4,4,2,2,2,5,2,4,2
"1120","Björn","Månsson","rkp",3,4,4,4,2,4,5,2,2,4,4,1,4,2,1,2,4,4,2,5,3,4,2,2,1,2,2,5,4,2,2,4,5,2,2,2,5,2,4,4,4,4,4,2,2,2,2,4,2
"1133","Calle","Viteli","ps",4,5,4,1,1,4,1,2,2,2,4,5,2,5,1,4,2,2,4,1,4,5,4,5,5,2,1,5,1,1,2,1,2,1,4,5,2,4,5,5,5,2,4,2,5,4,4,5,1
"1142","Carita","Cruz","vas",4,4,5,3,4,4,5,2,2,4,5,3,4,2,1,1,3.5,3.5,4,5,4,4,1.5,1,2.5,1,2,4,4.5,2.5,4.5,3.5,3,3,4.5,1,5,4,4,3.5,3.5,4,3.5,2,1,1,1.5,5,1
"1161","Cecilia","Ehrnrooth","rkp",2,2,5,2,2,2,4,2,2,2,4,1,2,4,1,1,4,4,2,3,2,2,4,1,2,3,4,2,2,3,2,4,2,4,1,1,4,2,2,4,3,4,3,1,2,3,2,4,1
"1172","Christa","Elmgren","rkp",5,3,5,3,3,1,5,4,4,2,4,3,4,3,2,4,2,2,1,5,2,4,1,1,3,2,4,4,4,3,2,4,3,2,2,1,5,4,1,4,3,4,1,2,2,4,3,3,2
"1181","Christian","Valtanen","kd",3,4,1,4,4,2,1,1,1,2,4,2,2,2,2,2,2,2,2,2,5,2,4,4,4,2,2,4,2,1,4,2,4,4,4,4,4,5,2,2,4,4,2,2,5,4,2,4,2
"1196","Dan","Koivulaakso","vas",5,5,5,5,1,5,5,1,1,5,5,5,5,1,1,1,4,4,5,5,1,4,2,1,1,1,2,5,5,2,1,5,5,1,4,1,5,1,5,1,1,2,5,1,1,1,1,5,5
"1198","Dani","Niskanen","kok",1,2,2,4,4,2,2,4,4,2,4,4,2,4,4,4,2,2,2,2,4,2,5,2,4,2,4,3,4,2,2,2,2,1,4,2,2,4,2,2,4,2,2,2,4,4,3,2,2
"1206","Daniel","Saarinen","rkp",4,3,5,4,1,4,5,4,4,5,4,4,4,1,1,4,1,2,2,4,2,5,2,2,4,2,4,4,4,2,4,4,2,2,4,2,5,4,4,4,2,4,4,2,3,4,2,4,2
"1207","Daniel","Sazonov","kok",4,2,5,2,4,1,4,4,4,1,4,5,4,2,1,4,1,1,2,4,2,4,2,2,4,1,4,1,5,2,1,4,5,1,2,2,5,5,1,2,4,2,1,1,2,4,2,2,1
"1209","Dennis","Hamro-Drotz","kok",2,2,5,2,3,2,5,2,2,2,5,2,5,4,1,2,4,4,2,5,2,4,1,2,4,1,2,4,4,1,1,4,5,2,2,2,5,4,4,5,2,4,4,1,4,4,1,2,2
"1210","Dennis","Pasterstein","kok",5,2,4,2,4,1,3,4,4,1,2,4,4,4,2,4,2,2,2,3,3,3,3,4,3,1,4,3,2,4,4,1,2,3,2,4,4,4,1,4,3,2,2,2,4,4,4,2,2
"1218","Dimitri","Qvintus","sdp",4,4,5,1,2,4,5,2,2,4,4,2,4,2,1,2,2,2,4,5,1,4,2,2,1,1,4,4,4,4,2,4,5,2,1,2,5,2,4,2,1,4,2,2,2,2,2,4,2
"1244","Eero","Heinäluoma","sdp",3,4,4,4,2,4,2,2,2,2,4,4,4,3,1,2,4,2,2,4,2,3,2,2,2,2,2,2,4,4,2,2,4,2,2,2,4,2,4,4,2,2,4,2,2,2,2,4,2
"1266","Eero","Rasijärvi","skp",5,5,5,5,1,5,5,1,1,4,5,1,5,2,1,1,4,2,5,5,4,5,1,1,1,1,1,5,5,1,5,4,2,5,5,1,5,1,5,5,4,5,5,2,5,1,2,5,1
"1304","Eeva","Kärkkäinen","kesk",3,4,5,4,2,4,4,2,3,2,4,2,4,2,1,1,4,4,2,5,2,5,1,2,2,2,2,2,5,2,2,4,4,2,4,2,5,4,4,3,3,3,2,2,2,2,1,4,4
"1329","Eevi","Kirjasniemi","sdp",5,5,5,4,1,5,5,1,1,5,4,5,4,1,1,1,1,1,3,5,2,5,2,5,1,1,2,5,2,3,1,5,5,4,5,5,5,2,5,2,1,4,5,1,1,2,1,5,4
"1371","Eija-Riitta","Aakio","kok",4,2,5,1,1,4,5,4,4,2,4,3,2,2,1,1,2,2,1,4,4,4,1,2,1,2,2,5,2,1,4,4,4,2,5,2,5,4,4,5,2,2,2,1,2,2,2,5,2
"1407","Elie","El-Khouri","kd",1,4,1.5,2,2,2,2,2,2,2,5,4,4,5,1,1,4,4,2,2,4,4,1,4,2,2,2,4,4,2,1,2,2,4,4,4,4,4,2,2,5,4,5,1,4,4,2,4,2
"1417","Elina","Das Bhowmik","kesk",3,4,5,2,2,4,4,2,2,2,4,2,4,2,1,2,4,4,2,4,2,4,2,2,2,2,4,4,4,2,2,4,2,2,4,2,4,2,4,4,4,1,1,2,4,2,2,4,2
"1424","Elina","Havu","kesk",5,5,5,4,1,4,5,2,2,4,4,1,2,1,1,1,5,5,2,5,2,5,2,1,2,1,1,4,5,2,2,4,5,4,5,2,5,2,5,5,1,4,4,1,1,2,2,5,1
"1454","Elina","Moisio","vihr",4,2,5,2,1,4,5,4,4,2,5,2,5,1,1,1,1,1,2,5,1,4,2,1,1,1,2,4,4,2,1,5,5,4,2,1,5,2,4,2,2,5,4,1,1,1,1,5,2
"1475","Elina","Vainikainen","vas",4,5,5,4,1,5,5,1,1,4,5,4,5,1,1,2,4,4,4,5,1,5,1,1,1,1,1,4,5,1,1,5,5,1,1,1,5,1,5,2,1,4,5,1,1,1,1,5,4
"1477","Elina","Valkama","vihr",4,4,5,4,1,5,5,2,2,4,5,4,5,1,1,1,2,2,2,5,1,4,2,1,2,1,1,2,5,1,2,2,5,2,4,1,5,2,5,2,1,4,4,1,2,1,1,5,4
"1480","Elina","Voutilainen","vihr",4,5,5,4,1,5,5,1,2,5,5,4,5,1,1,4,4,4,2,5,1,4,1,1,1,2,1,4,5,2,2,4,5,2,2,1,5,2,5,1,1,3,3,1,2,2,1,5,1
"1483","Elisa","Gebhard","sdp",4,4,5,4,1,4,5,2,2,4,5,4,5,2,1,1,2,2,4,5,2,5,2,1,1,2,2,4,4,2,1,5,5,4,1,1,5,2,4,2,2,4,4,1,1,2,1,5,1
"1488","Elisa","Jokelin","kok",5,5,5,4,1,4,5,5,4,5,5,5,5,2,1,2,1,1,4,5,1,4,4,4,4,1,4,2,4,2,1,5,5,2,2,4,5,1,4,4,2,2,4,4,2,2,1,2,1
"1496","Elisa","Tarkiainen","kok",4,2,5,2,2,2,4,4,4,2,4,4,4,2,1,2,2,2,2,4,2,4,2,2,2,2,2,2,4,2,2,4,4,2,4,2,4,4,2,2,4,2,2,2,2,2,2,4,2
"1523","Emilia","Knaapi","kok",4,2,5,4,2,2,5,4,4,2,4,1,2,3,2,2,1,1,1,4,2,5,4,4,4,4,2,2,2,2,2,4,2,1,4,4,5,4,2,1,4,4,3,2,4,2,2,4,2
"1534","Emilia","Tervonen","sdp",4,5,5,2,1,5,5,1,1,5,5,5,5,1,1,1,1,1,4,5,1,5,1,1,1,1,2,1,2,2,1,5,5,4,1,1,5,1,5,1,1,2,2,1,1,1,1,5,1
"1541","Emma","Kari","vihr",5,4,5,4,1,5,5,2,2,5,5,2,5,1,1,1,2,2,2,5,1,5,1,2,1,1,1,5,5,2,1,5,5,4,4,2,5,2,5,2,1,4,2,1,2,1,1,5,2
"1543","Emma","Koskimaa","kesk",5,4,5,1,1,4,5,2,2,1,4,1,4,2,1,1,5,5,2,5,2,5,5,1,2,1,1,3,5,2,3,4,5,2,4,1,5,5,5,4,1,1,4,1,1,2,4,5,4
"1595","Erkka","Peltonen","kesk",3,4,3,3,3,3,3,2,3,2,3,4,3,4,2,2,4,4,2,3,3,4,2,2,1,2,2,5,2,2,3,4,5,3,2,2,4,2,3,4,4,2,3,2,3,3,3,3,1
"1611","Erkki","Laukkanen","kesk",5,5,5,2,5,5,5,2,2,5,4,5,1,1,1,1,5,5,5,5,4,4,2,1,1,1,4,5,4,5,3,4,2,1,5,1,5,1,5,5,5,4,5,5,1,1,2,5,1
"1615","Erkki","LYLY","ps",5,1,1,5,4,2,2,4,2,1,2,4,1,5,4,2,4,4,2,2,2,4,5,5,2,2,4,2,2,4,4,1,1,1,4,5,2,4,2,5,2,4,5,2,5,4,4,4,2
"1627","Erkki","Saarinen","ps",4,2,3,2,2,4,1,2,2,2,4,1,2,5,1,4,4,4,1,2,4,2,2,5,2,2,5,2,4,2,1,2,2,1,4,4,2,2,2,4,4,2,4,2,4,5,2,2,2
"1631","Erkki","Saviharju","ps",5,2,4.5,4,5,4,1,2,1,5,4,1,1,5,1,2,5,5,4,1,5,1,2,5,1,4,4,5,1,2,5,1,2,1,5,4,2,5,5,5,5,1,5,1,5,4,5,4,4
"1644","Ernesto","Hartikainen","vihr",5,1,5,1,5,5,1,5,5,1,5,5,5,1,1,1,5,1,5,5,1,5,2,1,1,1,5,5,5,1,1,5,5,1,5,1,5,5,5,1,1,5,5,1,1,1,1,5,1
"1675","Esa","Lehtopuro","sdp",3,4,5,4,1,5,5,1,1,2,4,5,4,4,1,2,4,4,1,5,4,4,1,1,1,2,1,4,2,4,2,5,3,2,4,1,3,1,4,5,4,1,5,1,2,1,2,5,3
"1687","Esa","Puurtinen","rkp",3,3,3,1,1,4,4,3,3,2,2,1,2,4,1,3,1,1,1,2,2,5,2,1,2,2,4,2,4,5,2,2,4,2,2,1,4,4,2,2,4,1,1,2,4,4,4,2,4
"1735","Essi","Miettinen","pir",5,5,5,3,1,5,5,1,1,5,5,4,5,1,1,1,2,2,4,5,1,5,2,1,1,1,2,4,3,3,2,5,5,2,3,1,4,1,5,1,3,5,3,4,1,1,1,5,2
"1746","Eva","Biaudet","rkp",5,4,5,4,1,4,5,2,2,4,5,1,4,1,1,1,4,4,2,5,1,4,2,1,1,1,2,5,2,2,1,5,5,2,1,1,5,2,4,2,1,4,2,1,2,2,2,4,1
"1763","Eveliina","Heinäluoma","sdp",4,5,5,1,1,4,2,2,2,2,4,4,5,2,1,1,2,2,4,4,1,4,1,1,1,2,2,4,4,3,1,4,5,4,4,2,5,2,4,4,2,2,4,1,1,2,2,4,2
"1771","Evgeni","Sarelainen","kd",4,4,3,4,2,2,2,2,2,2,4,1,4,5,1,2,4,4,2,2,4,2,2,1,1,4,2,5,1,2,4,2,5,1,1,1,4,2,2,4,4,5,4,4,4,4,2,2,1
"1775","Fatih","Özcan","kesk",4,5,1,3,5,5,5,3,3,2,5,4,5,5,1,5,3,3,1,5,5,5,1,5,1,4,1,4,1,1,5,4,4,5,4,5,5,1,5,4,1,5,5,4,5,5,2,3,1
"1776","Fatim","Diarra","vihr",4,4,5,3,2,4,5,4,4,2,5,5,4,1,1,1,2,2,2,5,2,4,1,1,1,1,1,4,4,2,2,5,5,4,5,1,5,4,4,2,1,4,3,1,1,1,1,4,2
"1784","Fredrik","Guseff","rkp",3,3,5,1,3,2,4,2,2,2,4,4,2,2,2,4,2,2,2,4,2,2,4,2,2,2,2,4,4,2,2,4,4,2,1,2,4,2,2,2,3,2,2,2,2,4,3,2,1
"1801","Gunta","Ahlfors","vas",4,5,5,4,1,5,5,1,1,4,5,2,4,4,1,1,4,4,4,4,2,2,2,2,1,2,1,5,1,1,5,4,5,2,1,2,5,1,5,4,3,5,3,1,2,2,1,5,2
"1804","Gweal","Monykuany","pir",5,4,5,4,2,4,5,2,1,2,5,2,4,1,1,2,1,1,4,5,1,4,2,1,2,1,1,3,4,1,4,4,2,2,3,1,5,4,4,2,1,4,2,2,2,1,1,5,2
"1808","Hanna Gete","Mithiku","vas",3,5,5,4,1,5,5,1,1,5,5,2,5,1,1,2,4,4,4,5,2,4,1,1,2,1,2,4,4,4,3,5,5,2,1,1,5,1,5,2,2,3,5,1,1,1,1,5,2
"1835","Hanna","Lähteenmäki","kok",4,4,5,3,2,2,4,4,4,2,5,4,4,5,2,2,4,4,2,4,4,3,2,2,4,2,2,2,1,4,4,4,4,2,2,2,5,4,2,4,4,4,2,2,3,4,2,2,2
"1869","Hanna","Varis","sdp",4,4,5,4,2,4,2,2,2,4,4,2,5,2,1,4,4,4,5,2,2,4,4,4,2,1,2,4,4,4,2,5,5,4,2,4,4,1,4,5,1,2,2,1,2,2,2,5,4
"1877","Hanna-Kaisa","Simojoki","kd",1,2,2,4,2,2,4,4,4,2,1,1,5,1,1,2,2,2,2,5,4,4,4,2,2,1,4,4,5,4,4,5,2,1,4,2,5,2,2,4,4,2,2,2,1,2,2,2,4
"1883","Hanna-Maija","Kause","kesk",1,2,5,3,2,4,5,4,4,1,4,2,3,2,2,4,4,4,2,5,2,2,4,1,3,2,4,2,4,2,2,4,2,4,4,1,5,2,2,4,4,2,3,3,3,3,2,4,2
"1906","hannele","kuronen","ps",5,5,1.5,4,3,2,2,3,3,4,3,2,1,5,1,5,4,3,4,2,4,4,3,3,1,5,3,3,1,3,2,1,1,3,5,3,3,5,1,5,4,4,5,4,5,4,4,5,3
"1910","Hannele","Luukkainen","kok",4,2,5,3,2,2,4,4,4,2,5,4,5,4,1,4,1,1,1,4,4,2,5,5,1,2,1,2,2,1,2,2,2,2,3,5,4,4,2,5,2,4,1,2,3,4,1,2,2
"1921","Hannele","Salava","skp",2,5,5,5,1,5,5,1,1,5,5,1,4,1,1,2,5,5,5,5,1,5,1,1,1,1,1,5,2,1,1,5,5,4,4,1,5,1,5,5,1,4,5,1,1,1,1,5,5
"1923","Hannele","Siika-aho","sdp",2,5,5,4,1,5,5,1,1,4,4,4,4,1,1,2,2,2,4,5,3,3,2,1,2,1,2,4,4,3,1,5,4,2,2,1,5,1,5,3,1,2,4,2,1,1,4,5,4
"1935","Hannu (Miki)","Sileoni","kd",4,4,1,5,4,4,1,2,2,2,4,3,4,5,2,4,4,4,1,1,4,1,5,5,5,2,1,5,4,2,4,1,4,1,4,5,1,4,4,4,5,2,3,3,5,3,2,2,1
"1970","Hannu","Koponen","vas",5,5,5,4,2,5,5,1,1,5,5,5,4,2,1,2,2,2,4,5,2,4,2,1,1,1,4,4,5,5,4,5,5,4,2,1,5,1,5,4,1,4,5,2,2,2,1,5,2
"1984","Hannu","Mäkäräinen","pir",5,2,5,4,4,2,4,4,4,2,5,4,3,1,1,1,1,1,1,4,2,4,2,1,2,2,2,4,5,3,4,4,3,1,4,1,4,2,2,2,2,3,5,3,2,2,2,4,1
"1989","Hannu","Oskala","vihr",5,3,5,2,1,4,5,3,3,5,4,4,5,1,1,1,1,1,1,5,2,5,2,2,1,2,4,2,5,2,1,5,5,2,2,2,5,1,4,2,1,4,1,1,3,2,2,4,4
"1992","Hannu","Penttinen","sdp",3,3,5,3,2,2,5,2,2,5,4,4,5,2,1,2,4,4,3,4,4,4,1,1,2,2,2,4,2,4,2,5,5,4,2,1,4,2,2,1,4,2,3,2,4,4,2,4,2
"2023","Hannu","Timonen","vihr",1,5,5,4,2,4,5,1,1,2,5,5,3,2,3,2,1,2,4,4,2,3,2,1,2,2,3,4,4,2,2,5,5,2,2,1,5,2,5,2,1,4,4,2,1,1,2,5,4
"2027","Hannu","Tuominen","vihr",3,3,5,1,1,2,5,3,3,4,5,5,5,1,1,2,1,1,1,5,1,4,1,1,1,1,1,3,5,1,1,5,5,1,2,1,5,4,2,1,1,4,5,1,1,1,1,5,4
"2072","Harri","Laiho","sdp",3,4,3,2,3,4,5,2,2,2,3,5,1,4,1,1,2,2,1,4,4,1,4,3,3,4,1,4,1,4,2,3,2,2,4,2,4,2,4,3,4,1,3,1,3,2,4,5,2
"2074","Harri","Lehtimäki","ps",3,4,3,3,3,2,1,3,2,2,3,1,1,5,2,4,4,4,2,1,4,3,3,4,4,4,2,4,2,3,3,1,2,2,4,4,1,3,2,4,4,2,4,3,5,3,4,3,2
"2082","Harri","Lindell","kd",2,4,1,2,2,4,2,4,4,5,4,4,4,4,1,4,5,4,4,2,4,2,2,4,2,2,5,5,4,4,4,4,2,2,5,4,5,2,4,2,5,2,5,1,2,1,2,4,1
"2099","Harri","Saksala","sdp",4,4,4.5,2,2,4,5,1,2,4,5,4,4,2,1,2,4,4,4,4,2,3,2,2,1,1,2,4,4,4,2,4,4,4,4,2,5,2,5,4,2,2,3,2,2,2,2,4,2
"2104","Harri","Sorsa","ps",5,2,1.5,5,3,4,2,2,2,5,2,3,1,5,4,4,5,3,5,5,3,4,2,4,4,4,5,4,1,2,2,1,3,3,4,4,2,3,3,2,5,1,4,3,5,2,5,3,4
"2110","Harriet","Lonka","kesk",3,2,5,5,1,4,5,4,4,2,5,5,4,1,1,2,4,5,1,5,2,4,1,1,2,1,4,4,4,1,1,2,5,1,5,1,5,4,4,2,2,2,1,1,3,4,1,2,4
"2112","Harry","Bogomoloff","kok",5,2,4,1,2,1,1,4,4,1,4,4,3,5,2,4,1,1,1,3,4,2,3,4,2,4,4,4,2,1,4,1,2,1,2,4,3,4,2,5,4,3,2,2,4,4,4,1,1
"2113","Harry","Eklöf","ps",5,5,4,3,2,5,2,2,1,4,5,4,2,5,1,1,4,4,2,2,4,4,2,4,2,1,2,5,1,3,5,1,2,1,5,4,4,2,4,5,5,5,5,1,2,1,2,4,1
"2114","Harry","Grönmark","vas",5,5,5,5,1,5,4,1,1,5,5,2,4,2,1,1,4,4,5,4,2,5,1,4,1,1,1,5,4,5,2,5,5,4,1,4,4,1,5,2,1,3,5,2,2,1,1,5,2
"2127","Heidi","Ekholm-Talas","kok",5,4,5,2,3,2,4,5,5,2,5,4,5,5,1,4,2,2,2,4,4,4,2,4,1,2,5,4,2,3,4,1,5,2,1,4,5,4,2,5,2,4,1,1,5,5,1,1,3
"2129","Heidi","From","sdp",3,5,3,3,2,4,4,1,1,4,4,2,2,2,1,2,2,2,4,3,4,5,1,4,4,1,4,4,2,3,4,4,4,2,4,4,3,2,4,4,4,2,4,2,4,1,4,5,2
"2140","Heidi","Kangas","skp",1,5,5,4,1,5,5,1,1,5,5,1,5,1,1,2,4,4,5,5,1,4,1,1,1,1,1,5,5,2,2,5,5,3,1,1,5,1,5,1,1,3,5,2,1,1,1,5,2
"2150","Heidi","Manns-Haatanen","vihr",4,3,5,3,3,3,4,3,2,4,5,4,4,4,2,2,2,2,4,4,4,4,3,2,1,2,2,4,2,3,3,4,4,2,2,2,4,4,3,4,2,3,2,2,4,3,1,4,2
"2164","Heidi","Ruhala","kok",5,1,4,2,4,2,5,4,4,2,4,5,4,4,1,2,2,2,2,4,4,2,2,1,1,2,4,2,2,4,1,2,5,1,4,1,5,1,2,4,4,2,4,1,2,4,2,2,2
"2182","Heikki","Eloranta","pir",4,4,4,3,1,5,2,1,2,5,4,4,2,4,1,1,4,4,5,2,1,4,2,2,2,1,1,2,5,1,5,4,5,1,4,2,4,1,4,4,4,4,5,2,4,1,1,5,1
"2197","Heikki","Ketoharju","skp",3,5,5,5,1,4,5,1,1,5,5,1,5,1,1,3,5,5,5,4,1,3,1,1,1,1,1,4,5,1,3,5,5,5,1,1,5,1,4,3,1,4,5,1,1,1,1,5,5
"2225","Heikki","Männikkö","skp",1,5,5,5,1,5,5,1,1,2,5,4,5,1,1,4,5,5,4,5,4,5,1,1,1,2,1,5,2,5,1,5,5,1,1,1,5,1,5,5,1,2,3,1,1,1,1,5,4
"2260","Heikki","Valmu","vas",4,5,5,3,1,5,5,1,1,4,5,2,5,2,1,4,4,4,3,5,2,4,2,2,1,1,2,4,5,4,1,5,5,2,2,2,5,2,5,4,1,2,4,2,2,1,1,5,4
"2268","Heimo","Laaksonen","kok",4,2,3,2,4,2,2,4,4,1,2,4,2,4,4,4,2,2,1,2,4,2,2,2,4,2,4,2,2,2,4,2,2,2,4,3,4,4,2,4,4,3,2,2,4,2,4,4,4
"2288","Helena","Kantola","kok",2,2,3.5,4,4,2,2,4,4,3,4,2,4,4,2,2,4,4,4,2,4,4,4,4,4,3,2,4,2,3,4,2,2,2,4,4,4,5,4,4,5,2,3,4,4,2,4,4,2
"2294","Helena","Lauriala","kok",1,3,3,3,4,3,4,3,3,2,5,4,3,4,4,2,5,4,3,4,2,2,2,2,2,2,3,4,2,3,2,5,4,3,4,2,5,4,3,5,4,4,2,2,2,2,2,2,2
"2338","Heli","Lukkarila","vihr",5,4,4.5,5,4,4,4,5,5,4,5,2,1,2,1,1,2,2,5,4,4,5,2,1,2,1,1,5,4,4,4,4,4,4,4,2,5,2,4,5,2,4,4,1,1,2,1,4,2
"2386","Henna","Lepistö","kesk",1,3,1,4,1,4,3,4,4,4,4,3,4,5,1,2,5,5,5,3,4,5,2,4,1,1,2,5,4,4,4,4,5,4,2,4,4,2,4,1,5,4,5,2,2,2,4,5,1
"2415","Henri","Huittinen","vas",5,5,5,3,1,5,5,1,2,5,5,4,5,2,1,1,4,4,4,5,2,5,1,2,1,1,1,5,4,1,5,5,4,5,5,2,5,1,5,4,1,1,5,2,1,1,1,5,2
